Unnamed: 0,value,location_unique_id,location_country,location_lat,location_lng,COUNTRY,Unnamed: 7,Unnamed: 8,Unnamed: 9
214,C59B6,536046f6-6802-11e9-8621-42010a840003,IE,52.6716,-8.63531,Ireland,,,
217,C8BBT,53a6367a-6802-11e9-950e-42010a840003,IE,52.667272,-8.623738,Ireland,,,
218,C8UFM,53bbd2dc-6802-11e9-8e1f-42010a840003,IE,52.67501,-8.573692,Ireland,,,
220,Clontarf Castle Hotel  Castle Avenue  Clontarf  Dublin 3  County Dublin,e5fe73dc-c8d5-11e9-ad7e-42010a840003,IE,53.364446,-6.206361,Ireland,,,
221,Premier Inn  Airside Retail Park  Lakeshore Drive (L2305)  Swords  County Dublin,e663ff9a-c8d5-11e9-9762-42010a840003,IE,53.4442,-6.227,Ireland,,,
226,CBCSH,00ada022-c8d6-11e9-9cb2-42010a840003,IE,53.492693,-6.197212,Ireland,,,
227,C5RZS,00fd0efa-c8d6-11e9-b560-42010a840003,IE,53.304352,-6.313517,Ireland,,,
228,CB689,0127264a-c8d6-11e9-b337-42010a840003,IE,53.541503,-6.210181,Ireland,,,
239,Q-Park St Finbarr's Car Park  Wandesford Quay  Cork City  County Cork,e9032622-c8d5-11e9-b55c-42010a840003,IE,51.896372,-8.481072,Ireland,,,
241,C8VG3,0392f5e4-eb04-11e9-81b1-42010a840003,IE,51.931807,-8.566211,Ireland,,,
242,Jacobs Cork - GB193,2d3a47bc-5521-11ea-ba2a-42010a840003,IE,51.887202,-8.415059,Ireland,,,
245,C5G5N,f73f0c5a-25c3-11eb-ab12-42010a840003,IE,51.919758,-8.482427,Ireland,,,
248,TEV031,a15395ea-2aff-11eb-8408-42010a840003,IE,52.063372,-9.494934,Ireland,,,
249,C5R3K,0154c8f2-c8d6-11e9-b7d1-42010a840003,IE,52.052989,-9.507136,Ireland,,,
252,Waterside Public Car Park  Waterside  Waterford City  County Waterford,e928ca1c-c8d5-11e9-9309-42010a840003,IE,52.256489,-7.108605,Ireland,,,
260,IEGOC-EVBWX106,f7c27a22-3f23-11ea-9043-42010a840003,IE,52.343333,-6.484401,Ireland,,,
261,IEGOC-EVBWX107,9a8cd2e2-6b21-11ea-9641-42010a840003,IE,52.344387,-6.483162,Ireland,,,
262,IEGOC-EVBWX108,9a97de4e-6b21-11ea-b4bf-42010a840003,IE,52.34353,-6.481553,Ireland,,,
271,TEV023,006a3106-25c4-11eb-8311-42010a840003,IE,52.23685,-7.138973,Ireland,,,
276,TEV047,0132972c-25c4-11eb-820a-42010a840003,IE,52.332114,-6.461069,Ireland,,,
296,Tesla Destination Charger Hotel Killarney,b10b6e18-466d-11e9-ad14-42010a840003,IE,52.060497,-9.48447,Ireland,,,
