Unnamed: 0,name,pname,cityname,wgs84_lon,wgs84_lat
149,云杉智慧汽车充电站-MAX体育公园充电站,上海市,上海市,121.13047951948896,31.162792715513746
150,乐华汽车充电站((MAX体育公园直流充电站),上海市,上海市,121.13045948610136,31.162849658734032
151,度普E站快充站（青浦区远洋西郊宸章）,上海市,上海市,121.0982949217219,31.163913693301943
152,度普E站汽车充电站(青浦区远洋西郊宸章地库),上海市,上海市,121.09842394369898,31.16376379703025
153,依威能源汽车充电站(港隆国际大厦),上海市,上海市,121.11138318188594,31.16091440250776
154,蔚景云汽车充电站(申充港隆国际大厦),上海市,上海市,121.10945790539616,31.16137182976012
155,依威能源汽车充电站(青浦世纪联华),上海市,上海市,121.10845542334654,31.160260769015228
156,挚达汽车充电站(青浦区行政服务中心西南),上海市,上海市,121.12220165720385,31.15415195560705
157,国家电网充电站(青龙路),上海市,上海市,121.1352998141434,31.150233148594506
158,安悦充电充电站(安悦站富绅商业中心),上海市,上海市,121.13271047906753,31.15456011080414
159,充电队长汽车充电站(夏阳湖皇冠假日酒店),上海市,上海市,121.13274863949704,31.15335579684874
160,奂欣充电场站,上海市,上海市,121.16080471151804,31.185752638459853
161,上海奂欣实业有限公司电动汽车充电站,上海市,上海市,121.16156421121124,31.186161851373743
162,特来电充电站(上海万福财富中心),上海市,上海市,121.12633719602226,31.147857142412946
163,安悦充电充电站(安悦站芊岱大厦),上海市,上海市,121.1294703482567,31.14827795501945
164,特来电汽车充电站(上海万福财富中心充电站),上海市,上海市,121.1263802612704,31.14774125719848
165,国家电网汽车充电站(鹤球服装城充电站),上海市,上海市,121.1323662083183,31.24471451703698
166,新城盛景E区电动汽车充电站,上海市,上海市,121.14622296747208,31.156024625048733
167,安悦充电汽车充电站(跨越速运),上海市,上海市,121.19836081705408,31.224462713316377
168,国家电网充电站(海盈路),上海市,上海市,121.0935782891739,31.1393061799585
169,万马爱充汽车充电站(五浦汇菜场),上海市,上海市,121.109056790622,31.14836138724148
170,安悦充电汽车充电站(上海轻良实业),上海市,上海市,121.1460319605585,31.256897542789307
171,依威能源汽车充电站(源昌幸福里二期),上海市,上海市,121.15178606638972,31.160176191122
172,依威能源汽车充电站(源昌幸福里一期),上海市,上海市,121.15236215175688,31.16047306823272
173,小桔充电站(上海市青浦区宝龙汇金公交枢纽地下),上海市,上海市,121.14960575677372,31.1619344109824
174,星星充电汽车充电站(不对外开放崧泽华城秀景苑三期),上海市,上海市,121.1528166764773,31.16462173314464
175,星星充电汽车充电站(青浦区崧泽华城秀景苑二期直流),上海市,上海市,121.15442681417257,31.16462764135828
176,星星充电汽车充电站(不对外开放御澜山小区),上海市,上海市,121.14971931379436,31.15793669159588
177,星星充电汽车充电站(不对外开放崧泽华城秀景苑二期直流),上海市,上海市,121.15443482927604,31.16463465229268
178,星星充电汽车充电站(不对外开放星星充电御澜山小区充电站),上海市,上海市,121.14971931370864,31.15793769107411
179,汽车充电站(康汇雅苑),上海市,上海市,121.19010705508909,31.206269122148704
180,星星充电汽车充电站(高老九火锅店直流),上海市,上海市,121.184852630729,31.201665291499385
181,度普E站汽车充电站(青浦区万科红生活广场),上海市,上海市,121.18544475526518,31.201717308531443
182,森通智达汽车充电站(佳福雅苑A2),上海市,上海市,121.15229128431216,31.15732358271873
183,森通智达汽车充电站(崧泽华城昱芳苑),上海市,上海市,121.14885473238566,31.15737146987855
184,森通智达汽车充电站(崧泽华城昱华苑),上海市,上海市,121.14920746883134,31.15651853317628
185,森通智达汽车充电站(崧泽华城佳福雅苑东区),上海市,上海市,121.15082453743946,31.15650439369736
186,森通智达汽车充电站(崧泽华城佳福雅苑北区),上海市,上海市,121.15201980712776,31.156779380690743
187,森通智达汽车充电站(崧泽华城佳福雅苑西区),上海市,上海市,121.14971556284485,31.154944249837875
188,森通智达汽车充电站(崧泽华城佳福雅苑南区),上海市,上海市,121.15286349829265,31.156076262769915
189,上海倚申汽车充电站(青浦白鹤充电站),上海市,上海市,121.1439168623372,31.248484700651165
190,汽车充电站(申通智慧物流园),上海市,上海市,121.18190760693716,31.182082764240374
191,汽车充电站(申通智慧物流园),上海市,上海市,121.1832301197471,31.182745801108204
192,腾势充电站(新九汽车总汇站),上海市,上海市,121.18273354145518,31.178232194791
193,新能源超级充电站,上海市,上海市,121.16675766983512,31.163908937982924
194,乐华充电(沪升E谷直流汽车充电站）,上海市,上海市,121.17283087613409,31.165817359713284
