unitPrice,zpid,latitude,longitude,homeType
425.0,17119563,32.707718,-117.04793,SINGLE_FAMILY
408.6398132,17132019,32.68071,-117.04705,SINGLE_FAMILY
461.7465224,17136411,32.683178,-117.0171,SINGLE_FAMILY
580.3418803,17124890,32.70164,-117.02644,SINGLE_FAMILY
427.1901709,2062396821,32.72615,-116.96989,SINGLE_FAMILY
496.4594128,17016358,32.730618,-117.0467,SINGLE_FAMILY
582.5,17111781,32.725487,-117.04221,SINGLE_FAMILY
501.4208107,2060673409,32.731995,-117.02368,MULTI_FAMILY
562.5,17045518,32.738987,-116.9939,SINGLE_FAMILY
463.5714286,17048670,32.731094,-116.95565,SINGLE_FAMILY
446.0683515,2062396812,32.72615,-116.96989,SINGLE_FAMILY
520.8298611,17009028,32.74962,-117.04629,SINGLE_FAMILY
418.9874302,2061977941,32.72573,-116.97269,TOWNHOUSE
556.3829787,17128293,32.694523,-117.019165,SINGLE_FAMILY
433.4677419,2096261274,32.715904,-117.00985,MULTI_FAMILY
336.3914373,17127008,32.70032,-117.003426,SINGLE_FAMILY
273.4241908,140626479,32.731937,-117.01369,MANUFACTURED
449.7189257,17009612,32.745415,-117.041405,SINGLE_FAMILY
738.395218,17045812,32.73396,-117.003334,SINGLE_FAMILY
461.1111111,65398151,32.67493,-117.03958,CONDO
412.3376623,17134774,32.683357,-117.03643,SINGLE_FAMILY
530.4276316,17145824,32.657738,-116.97269,CONDO
438.4287454,17046761,32.74352,-116.97878,SINGLE_FAMILY
452.6606773,17145597,32.65922,-116.97353,TOWNHOUSE
531.1607649,17120340,32.707676,-117.036194,SINGLE_FAMILY
520.1822917,2077232123,32.720837,-117.007774,MULTI_FAMILY
621.1699164,17126402,32.710125,-117.00023,SINGLE_FAMILY
434.7826087,17132799,32.674656,-117.04476,TOWNHOUSE
360.9687937,17131860,32.679485,-117.04993,SINGLE_FAMILY
365.1609803,17047476,32.734016,-116.97648,SINGLE_FAMILY
624.9990385,17128361,32.700546,-117.01627,SINGLE_FAMILY
473.723168,17131743,32.674065,-117.04506,SINGLE_FAMILY
301.16179,17038309,32.746784,-117.00327,SINGLE_FAMILY
471.9496883,17134083,32.674614,-117.02978,SINGLE_FAMILY
470.754717,67403785,32.72192,-116.97374,CONDO
492.9487179,63660631,32.658363,-116.96944,CONDO
462.1171413,17126893,32.706856,-117.00214,SINGLE_FAMILY
411.1842105,295365275,32.71068,-116.997055,MULTI_FAMILY
489.8148148,17132475,32.674774,-117.04142,CONDO
730.8467742,17016323,32.732616,-117.04263,SINGLE_FAMILY
412.8798514,17039308,32.751804,-116.99631,SINGLE_FAMILY
592.782646,17111722,32.726784,-117.04401,SINGLE_FAMILY
400.9433962,17039364,32.74613,-116.98449,TOWNHOUSE
398.9104116,17111909,32.727104,-117.03559,SINGLE_FAMILY
350.591716,17116540,32.70945,-116.989494,SINGLE_FAMILY
492.3484848,17115560,32.721367,-117.010765,SINGLE_FAMILY
482.0261438,17134706,32.68104,-117.03353,CONDO
361.7363344,17045780,32.735756,-116.998055,SINGLE_FAMILY
537.037037,17120077,32.70889,-117.03461,SINGLE_FAMILY
114.5833333,140630269,32.72346,-117.01217,MANUFACTURED
586.9565217,17046121,32.74254,-116.98985,SINGLE_FAMILY
325.3791757,17047409,32.7384,-116.9766,SINGLE_FAMILY
422.4062183,17144057,32.658535,-116.98819,SINGLE_FAMILY
405.0558495,17128663,32.693123,-117.02495,TOWNHOUSE
118.0543981,87803451,32.74086,-117.00553,MANUFACTURED
498.4815618,17141718,32.654922,-116.99082,SINGLE_FAMILY
368.0387409,17117550,32.72004,-116.99096,SINGLE_FAMILY
411.5384615,17117775,32.72124,-116.98754,SINGLE_FAMILY
361.3861386,295357424,32.734844,-117.04256,MULTI_FAMILY
370.6196092,17044532,32.731567,-117.02144,SINGLE_FAMILY
511.2834979,17142061,32.657772,-117.00159,SINGLE_FAMILY
415.0476863,69020697,32.66459,-116.95419,SINGLE_FAMILY
524.7472316,69017528,32.74993,-117.0352,SINGLE_FAMILY
529.5454545,17117225,32.721188,-116.99347,SINGLE_FAMILY
453.2324622,17114881,32.714996,-117.02129,SINGLE_FAMILY
583.3325,17112376,32.725636,-117.033775,SINGLE_FAMILY
514.8963731,17120502,32.697105,-117.03527,SINGLE_FAMILY
433.8033261,17141910,32.655483,-116.99215,SINGLE_FAMILY
325.3424658,69022433,32.72098,-116.9834,SINGLE_FAMILY
525.4385965,17116829,32.71309,-116.99208,SINGLE_FAMILY
479.0554415,17123989,32.710167,-117.0166,SINGLE_FAMILY
460.1701469,17128696,32.690865,-117.024445,TOWNHOUSE
505.6179775,17145800,32.657505,-116.97286,CONDO
679.4425087,17038018,32.752934,-117.008606,SINGLE_FAMILY
601.0781671,17119348,32.70322,-117.04705,SINGLE_FAMILY
637.962963,17009748,32.745274,-117.03903,SINGLE_FAMILY
470.0,52521472,32.671947,-117.0429,TOWNHOUSE
470.8047945,17017278,32.73504,-117.02625,SINGLE_FAMILY
334.5070423,52521090,32.72075,-116.99193,SINGLE_FAMILY
389.6103896,17048139,32.72779,-116.97133,SINGLE_FAMILY
400.3593429,17118347,32.726254,-116.95742,SINGLE_FAMILY
490.1143791,17132214,32.6775,-117.03715,CONDO
556.0,17114349,32.718483,-117.028725,MULTI_FAMILY
408.7439278,17127638,32.700016,-117.013176,TOWNHOUSE
440.3131115,63656596,32.74451,-117.026215,CONDO
397.0588235,17117722,32.71651,-116.99061,SINGLE_FAMILY
216.6882277,2061011094,32.7357,-117.01418,MANUFACTURED
443.577005,17142116,32.6574,-116.99899,SINGLE_FAMILY
